keyword
# ----------------------  English  ----------------------
sustainable
circular economy
net zero
energy transition
renewable
green
eco‑friendly
biodegradable
recycling
upcycling
conservation
energy efficiency
zero waste
carbon footprint
carbon neutrality
carbon offset
organic
scope 3 emissions
emissions
climate change
global warming
Paris Agreement
ozone layer
solar power
wind energy
hydropower
geothermal energy
biomass
clean hydrogen
natural resources
pollution reduction
air quality
water quality
environmental impact
ESG
SDG
sustainability goals
corporate social responsibility
ethical sourcing
fair trade
responsible investment
green bonds
sustainability indices
life cycle assessment
environmental footprint
eco‑labeling
sustainability reporting
biodiversity
endangered species
habitat protection
ecosystems
reforestation
sustainable agriculture
regenerative agriculture
organic farming
agroforestry
permaculture
veganism
vegetarianism
pesticide‑free
herbicide‑free
non‑GMO
food miles
climate‑smart agriculture
sustainable fisheries
ocean conservation
marine protected areas
freshwater resources
water conservation
drought resilience
flood management
climate resilience
sustainable materials
natural fibers
composting
eco‑innovation
green technology
green building
LEED certification
BREEAM
energy‑positive buildings
biophilic design
urban green spaces
green roofs
green walls
smart cities
sustainable transport
public transportation
carpooling
bike sharing
walking
electric vehicles
hydrogen vehicles
sustainable aviation fuel
green logistics
sustainable tourism
eco‑tourism
cultural preservation
community engagement
waste management
landfill diversion
producer responsibility
renewable energy certificates
environmental law
climate policy
environmental justice
indigenous rights
blue carbon
sustainable mining
resource efficiency
responsible sourcing
green procurement
sustainable packaging
plastic‑free
reuse
refill
environmental stewardship
wildlife corridors
forest conservation
grassland restoration
wetland restoration
coral reef protection
noise pollution
light pollution
thermal pollution
battery recycling
energy storage
fuel cell technology
green finance
transition finance
green loans
taxonomy aligned
double materiality
# ----------------------  Dutch  ------------------------
duurzaam
circulaire economie
netto nul
energietransitie
hernieuwbaar
groen
milieuvriendelijk
biologisch afbreekbaar
recycling
upcycling
behoud
energie‑efficiëntie
zero waste
koolstofvoetafdruk
koolstofneutraliteit
koolstofcompensatie
biologisch
scope 3 emissies
emissies
klimaatverandering
opwarming van de aarde
Parijsakkoord
ozonlaag
zonne‑energie
windenergie
waterkracht
geothermische energie
biomassa
schone waterstof
natuurlijke hulpbronnen
vermindering van vervuiling
luchtkwaliteit
waterkwaliteit
milieu‑impact
ESG
SDG
duurzaamheidsdoelen
maatschappelijk verantwoord ondernemen
ethische inkoop
eerlijke handel
verantwoord investeren
groene obligaties
duurzaamheidsindices
levenscyclusbeoordeling
milieuvoetafdruk
eco‑etikettering
rapportage van duurzaamheid
biodiversiteit
bedreigde soorten
bescherming van habitats
ecosystemen
herbebossing
duurzame landbouw
regeneratieve landbouw
biologische landbouw
agrobosbouw
permacultuur
veganisme
vegetarisme
zonder pesticiden
zonder herbiciden
niet‑GMO
voedselkilometers
klimaatslimme landbouw
duurzame visserij
zeebehoud
beschermde mariene gebieden
zoetwaterbronnen
waterbehoud
droogteresistentie
overstromingsbeheer
klimaatweerbaarheid
duurzame materialen
natuurlijke vezels
composteren
eco‑innovatie
groene technologie
groen bouwen
LEED‑certificering
BREEAM
energiepositieve gebouwen
biofiel ontwerp
stedelijke groene ruimtes
groene daken
groene muren
slimme steden
duurzaam vervoer
openbaar vervoer
carpoolen
fiets‑delen
lopen
elektrische voertuigen
waterstofvoertuigen
duurzame vliegtuigbrandstof
groene logistiek
duurzaam toerisme
eco‑toerisme
behoud van cultuur
gemeenschapsbetrokkenheid
afvalbeheer
vermindering van stortplaatsen
producentenverantwoordelijkheid
certificaten voor hernieuwbare energie
milieuwetgeving
klimaatbeleid
milieurechtvaardigheid
rechten van inheemsen
blauwe koolstof
duurzame mijnbouw
efficiëntie van hulpbronnen
verantwoord inkopen
groene inkoop
duurzame verpakking
plasticvrij
hergebruik
navullen
milieubeheer
wildlifecorridors
bosbehoud
herstel van graslanden
restauratie van wetlands
bescherming van koraalriffen
geluidsoverlast
lichtvervuiling
thermische vervuiling
batterijrecycling
energieopslag
brandstofceltechnologie
groene financiering
transitiefinanciering
groene leningen
taxonomie‑conform
dubbele materialiteit
